team_id,team_name,season_id,season_name,season_year,matches_played,total_goals,goals_per_game,total_xg,xg_per_game,xg_difference,xg_diff_per_game,total_big_chances_created,big_chances_created_per_game,total_big_chances_missed,big_chances_missed_per_game,total_big_chances_scored,big_chances_scored_per_game,total_shots_on_target,shots_on_target_per_game,total_shots_off_target,shots_off_target_per_game,total_blocked_shots,blocked_shots_per_game,total_shots,shots_per_game,total_shots_inside_box,shots_inside_box_per_game,total_shots_outside_box,shots_outside_box_per_game,total_hit_woodwork,total_corners,corners_per_game,avg_dribbles_success_pct,total_touches_in_box,touches_in_box_per_game
3117,Pogoń Szczecin,76477,Ekstraklasa 25/26,25/26,17,26,1.53,33.19,1.95,-7.19,-0.42,55,3.24,39,2.29,16,0.94,89,5.24,107,6.29,84,4.94,280,16.47,186,10.94,94,5.53,13,90,5.29,5.4,480,28.24
3121,Lech Poznań,76477,Ekstraklasa 25/26,25/26,16,27,1.69,28.02,1.75,-1.02,-0.06,26,1.63,14,0.88,12,0.75,83,5.19,81,5.06,81,5.06,245,15.31,147,9.19,98,6.13,5,96,6.00,7.5,413,25.81
3112,GKS Katowice,76477,Ekstraklasa 25/26,25/26,16,23,1.44,24.73,1.55,-1.73,-0.11,32,2.00,16,1.00,16,1.00,77,4.81,67,4.19,53,3.31,197,12.31,123,7.69,74,4.63,7,87,5.44,6.1,348,21.75
5065,MKS Korona Kielce,76477,Ekstraklasa 25/26,25/26,17,20,1.18,25.79,1.52,-5.79,-0.34,34,2.00,24,1.41,10,0.59,64,3.76,99,5.82,79,4.65,242,14.24,170,10.00,72,4.24,8,92,5.41,7.9,435,25.59
3106,Legia Warszawa,76477,Ekstraklasa 25/26,25/26,16,19,1.19,24.11,1.51,-5.11,-0.32,33,2.06,25,1.56,8,0.50,68,4.25,100,6.25,86,5.38,254,15.88,159,9.94,95,5.94,5,92,5.75,7.9,465,29.06
7691,Jagiellonia Białystok,76477,Ekstraklasa 25/26,25/26,15,27,1.80,21.99,1.47,5.01,0.33,28,1.87,12,0.80,16,1.07,78,5.20,78,5.20,61,4.07,217,14.47,146,9.73,71,4.73,6,69,4.60,6.9,384,25.60
36851,Bruk-Bet Termalica Nieciecza,76477,Ekstraklasa 25/26,25/26,17,22,1.29,24.69,1.45,-2.69,-0.16,39,2.29,27,1.59,12,0.71,71,4.18,69,4.06,57,3.35,197,11.59,128,7.53,69,4.06,6,76,4.47,6.4,338,19.88
3115,Widzew Łódź,76477,Ekstraklasa 25/26,25/26,17,25,1.47,24.67,1.45,0.33,0.02,36,2.12,21,1.24,15,0.88,76,4.47,77,4.53,63,3.71,216,12.71,131,7.71,85,5.00,5,68,4.00,8.3,356,20.94
3113,Zagłębie Lubin,76477,Ekstraklasa 25/26,25/26,16,28,1.75,22.94,1.43,5.06,0.32,36,2.25,19,1.19,17,1.06,70,4.38,78,4.88,49,3.06,197,12.31,131,8.19,66,4.13,3,65,4.06,5.1,325,20.31
7915,Motor Lublin,76477,Ekstraklasa 25/26,25/26,16,22,1.38,22.57,1.41,-0.57,-0.04,28,1.75,14,0.88,14,0.88,55,3.44,74,4.63,60,3.75,189,11.81,134,8.38,55,3.44,3,89,5.56,6.3,379,23.69
35268,Raków Częstochowa,76477,Ekstraklasa 25/26,25/26,16,25,1.56,22.21,1.39,2.79,0.17,41,2.56,25,1.56,16,1.00,70,4.38,73,4.56,55,3.44,198,12.38,137,8.56,61,3.81,3,66,4.13,8.0,380,23.75
3110,Górnik Zabrze,76477,Ekstraklasa 25/26,25/26,17,27,1.59,23.06,1.36,3.94,0.23,30,1.76,18,1.06,12,0.71,77,4.53,105,6.18,84,4.94,266,15.65,157,9.24,109,6.41,6,97,5.71,7.8,425,25.00
7295,Radomiak Radom,76477,Ekstraklasa 25/26,25/26,17,33,1.94,22.04,1.30,10.96,0.64,39,2.29,20,1.18,19,1.12,82,4.82,86,5.06,65,3.82,233,13.71,143,8.41,90,5.29,2,63,3.71,6.6,343,20.18
7913,KS Lechia Gdańsk,76477,Ekstraklasa 25/26,25/26,17,32,1.88,21.51,1.27,10.49,0.62,46,2.71,24,1.41,22,1.29,78,4.59,71,4.18,56,3.29,205,12.06,133,7.82,72,4.24,8,73,4.29,5.1,369,21.71
3122,Wisła Płock,76477,Ekstraklasa 25/26,25/26,16,20,1.25,20.24,1.27,-0.24,-0.02,28,1.75,16,1.00,12,0.75,58,3.63,81,5.06,48,3.00,187,11.69,111,6.94,76,4.75,5,63,3.94,5.4,291,18.19
4901,Cracovia,76477,Ekstraklasa 25/26,25/26,16,23,1.44,19.61,1.23,3.39,0.21,33,2.06,16,1.00,17,1.06,53,3.31,70,4.38,50,3.13,173,10.81,113,7.06,60,3.75,4,58,3.63,6.2,279,17.44
7918,Piast Gliwice,76477,Ekstraklasa 25/26,25/26,15,16,1.07,13.78,0.92,2.22,0.15,11,0.73,6,0.40,5,0.33,43,2.87,91,6.07,74,4.93,208,13.87,126,8.40,82,5.47,3,75,5.00,4.9,356,23.73
5064,MZKS Arka Gdynia,76477,Ekstraklasa 25/26,25/26,17,14,0.82,12.68,0.75,1.32,0.08,19,1.12,12,0.71,7,0.41,45,2.65,66,3.88,43,2.53,154,9.06,86,5.06,68,4.00,4,61,3.59,5.2,248,14.59
3106,Legia Warszawa,61236,Ekstraklasa 24/25,24/25,33,58,1.76,63.05,1.91,-5.05,-0.15,87,2.64,52,1.58,35,1.06,169,5.12,171,5.18,161,4.88,501,15.18,347,10.52,154,4.67,18,206,6.24,9.6,1045,31.67
3117,Pogoń Szczecin,61236,Ekstraklasa 24/25,24/25,33,56,1.70,60.84,1.84,-4.84,-0.15,83,2.52,50,1.52,33,1.00,176,5.33,172,5.21,149,4.52,497,15.06,331,10.03,166,5.03,11,201,6.09,5.7,897,27.18
7691,Jagiellonia Białystok,61236,Ekstraklasa 24/25,24/25,33,54,1.64,55.50,1.68,-1.50,-0.05,81,2.45,49,1.48,32,0.97,148,4.48,188,5.70,124,3.76,460,13.94,306,9.27,154,4.67,14,169,5.12,7.9,964,29.21
3121,Lech Poznań,61236,Ekstraklasa 24/25,24/25,33,66,2.00,55.47,1.68,10.53,0.32,80,2.42,43,1.30,37,1.12,178,5.39,155,4.70,179,5.42,512,15.52,342,10.36,170,5.15,10,167,5.06,6.8,932,28.24
38732,Stal Mielec,61236,Ekstraklasa 24/25,24/25,33,38,1.15,54.71,1.66,-16.71,-0.51,67,2.03,43,1.30,24,0.73,136,4.12,183,5.55,127,3.85,446,13.52,305,9.24,141,4.27,15,158,4.79,6.1,757,22.94
3112,GKS Katowice,61236,Ekstraklasa 24/25,24/25,33,48,1.45,53.43,1.62,-5.43,-0.16,71,2.15,44,1.33,27,0.82,150,4.55,206,6.24,123,3.73,479,14.52,301,9.12,178,5.39,10,147,4.45,6.2,814,24.67
7915,Motor Lublin,61236,Ekstraklasa 24/25,24/25,32,46,1.44,51.51,1.61,-5.51,-0.17,76,2.38,51,1.59,25,0.78,130,4.06,174,5.44,115,3.59,419,13.09,277,8.66,142,4.44,20,162,5.06,6.4,722,22.56
7913,KS Lechia Gdańsk,61236,Ekstraklasa 24/25,24/25,32,43,1.34,47.59,1.49,-4.59,-0.14,59,1.84,33,1.03,26,0.81,139,4.34,154,4.81,123,3.84,416,13.00,255,7.97,161,5.03,10,147,4.59,7.5,760,23.75
35268,Raków Częstochowa,61236,Ekstraklasa 24/25,24/25,33,49,1.48,48.86,1.48,0.14,0.00,65,1.97,34,1.03,31,0.94,158,4.79,174,5.27,125,3.79,457,13.85,277,8.39,180,5.45,8,167,5.06,8.9,799,24.21
7295,Radomiak Radom,61236,Ekstraklasa 24/25,24/25,33,46,1.39,48.47,1.47,-2.47,-0.07,66,2.00,37,1.12,29,0.88,139,4.21,199,6.03,121,3.67,459,13.91,324,9.82,135,4.09,11,179,5.42,7.2,768,23.27
4901,Cracovia,61236,Ekstraklasa 24/25,24/25,33,57,1.73,47.78,1.45,9.22,0.28,72,2.18,36,1.09,36,1.09,144,4.36,204,6.18,120,3.64,468,14.18,269,8.15,199,6.03,9,161,4.88,6.5,705,21.36
3113,Zagłębie Lubin,61236,Ekstraklasa 24/25,24/25,33,33,1.00,47.74,1.45,-14.74,-0.45,50,1.52,31,0.94,19,0.58,147,4.45,209,6.33,130,3.94,486,14.73,291,8.82,195,5.91,11,183,5.55,7.0,789,23.91
3108,Śląsk Wrocław,61236,Ekstraklasa 24/25,24/25,33,37,1.12,47.40,1.44,-10.40,-0.32,66,2.00,44,1.33,22,0.67,136,4.12,188,5.70,145,4.39,469,14.21,294,8.91,175,5.30,15,150,4.55,7.8,779,23.61
3110,Górnik Zabrze,61236,Ekstraklasa 24/25,24/25,32,41,1.28,45.86,1.43,-4.86,-0.15,69,2.16,48,1.50,21,0.66,151,4.72,178,5.56,148,4.63,477,14.91,280,8.75,197,6.16,10,172,5.38,7.7,725,22.66
5065,MKS Korona Kielce,61236,Ekstraklasa 24/25,24/25,33,37,1.12,44.32,1.34,-7.32,-0.22,47,1.42,24,0.73,23,0.70,132,4.00,178,5.39,128,3.88,438,13.27,266,8.06,172,5.21,4,174,5.27,7.1,688,20.85
3115,Widzew Łódź,61236,Ekstraklasa 24/25,24/25,33,37,1.12,41.75,1.27,-4.75,-0.14,59,1.79,40,1.21,19,0.58,117,3.55,173,5.24,123,3.73,413,12.52,243,7.36,170,5.15,11,153,4.64,6.8,653,19.79
38729,Puszcza Niepołomice,61236,Ekstraklasa 24/25,24/25,32,35,1.09,39.65,1.24,-4.65,-0.15,54,1.69,32,1.00,22,0.69,112,3.50,139,4.34,109,3.41,360,11.25,240,7.50,120,3.75,9,132,4.13,6.1,700,21.88
7918,Piast Gliwice,61236,Ekstraklasa 24/25,24/25,33,36,1.09,38.96,1.18,-2.96,-0.09,57,1.73,39,1.18,18,0.55,139,4.21,179,5.42,115,3.48,433,13.12,276,8.36,157,4.76,8,154,4.67,5.8,726,22.00
7691,Jagiellonia Białystok,52176,Ekstraklasa 23/24,23/24,32,73,2.28,60.76,1.90,12.24,0.38,88,2.75,44,1.38,44,1.38,162,5.06,173,5.41,118,3.69,453,14.16,305,9.53,148,4.63,9,163,5.09,8.1,133,4.16
35268,Raków Częstochowa,52176,Ekstraklasa 23/24,23/24,33,51,1.55,60.07,1.82,-9.07,-0.27,77,2.33,49,1.48,28,0.85,162,4.91,188,5.70,124,3.76,474,14.36,311,9.42,163,4.94,10,196,5.94,9.8,78,2.36
3117,Pogoń Szczecin,52176,Ekstraklasa 23/24,23/24,32,56,1.75,57.61,1.80,-1.61,-0.05,83,2.59,52,1.63,31,0.97,159,4.97,204,6.38,153,4.78,516,16.13,327,10.22,189,5.91,8,191,5.97,5.9,81,2.53
3106,Legia Warszawa,52176,Ekstraklasa 23/24,23/24,33,48,1.45,53.49,1.62,-5.49,-0.17,68,2.06,41,1.24,27,0.82,143,4.33,199,6.03,149,4.52,491,14.88,307,9.30,184,5.58,18,195,5.91,7.2,63,1.91
7295,Radomiak Radom,52176,Ekstraklasa 23/24,23/24,32,39,1.22,50.39,1.57,-11.39,-0.36,65,2.03,47,1.47,18,0.56,133,4.16,199,6.22,125,3.91,457,14.28,308,9.63,149,4.66,15,169,5.28,7.1,38,1.19
7918,Piast Gliwice,52176,Ekstraklasa 23/24,23/24,32,37,1.16,49.20,1.54,-12.20,-0.38,61,1.91,37,1.16,24,0.75,124,3.88,157,4.91,114,3.56,395,12.34,257,8.03,138,4.31,7,162,5.06,6.1,36,1.13
3108,Śląsk Wrocław,52176,Ekstraklasa 23/24,23/24,32,48,1.50,46.90,1.47,1.10,0.03,67,2.09,36,1.13,31,0.97,146,4.56,137,4.28,106,3.31,389,12.16,227,7.09,162,5.06,6,117,3.66,8.8,81,2.53
3113,Zagłębie Lubin,52176,Ekstraklasa 23/24,23/24,32,39,1.22,45.82,1.43,-6.82,-0.21,59,1.84,33,1.03,26,0.81,152,4.75,189,5.91,130,4.06,471,14.72,280,8.75,191,5.97,6,170,5.31,6.8,55,1.72
5065,MKS Korona Kielce,52176,Ekstraklasa 23/24,23/24,33,39,1.18,46.20,1.40,-7.20,-0.22,55,1.67,30,0.91,25,0.76,133,4.03,180,5.45,141,4.27,454,13.76,251,7.61,203,6.15,6,160,4.85,8.0,78,2.36
4901,Cracovia,52176,Ekstraklasa 23/24,23/24,33,43,1.30,45.65,1.38,-2.65,-0.08,54,1.64,32,0.97,22,0.67,131,3.97,181,5.48,149,4.52,461,13.97,274,8.30,187,5.67,16,171,5.18,7.1,97,2.94
3105,Ruch Chorzów,52176,Ekstraklasa 23/24,23/24,32,37,1.16,43.20,1.35,-6.20,-0.19,50,1.56,30,0.94,20,0.63,117,3.66,169,5.28,125,3.91,411,12.84,244,7.63,167,5.22,10,145,4.53,6.4,53,1.66
3110,Górnik Zabrze,52176,Ekstraklasa 23/24,23/24,32,45,1.41,42.83,1.34,2.17,0.07,59,1.84,29,0.91,30,0.94,135,4.22,150,4.69,112,3.50,397,12.41,231,7.22,166,5.19,6,159,4.97,7.3,64,2.00
3121,Lech Poznań,52176,Ekstraklasa 23/24,23/24,32,43,1.34,42.09,1.32,0.91,0.03,55,1.72,32,1.00,23,0.72,140,4.38,140,4.38,112,3.50,392,12.25,232,7.25,160,5.00,10,187,5.84,7.8,41,1.28
3115,Widzew Łódź,52176,Ekstraklasa 23/24,23/24,32,41,1.28,42.02,1.31,-1.02,-0.03,56,1.75,36,1.13,20,0.63,137,4.28,166,5.19,120,3.75,423,13.22,243,7.59,180,5.63,11,181,5.66,6.2,48,1.50
38729,Puszcza Niepołomice,52176,Ekstraklasa 23/24,23/24,32,36,1.13,39.06,1.22,-3.06,-0.10,46,1.44,24,0.75,22,0.69,108,3.38,138,4.31,98,3.06,344,10.75,232,7.25,112,3.50,11,139,4.34,4.5,79,2.47
3123,ŁKS Łódź,52176,Ekstraklasa 23/24,23/24,32,34,1.06,37.54,1.17,-3.54,-0.11,40,1.25,21,0.66,19,0.59,108,3.38,145,4.53,109,3.41,362,11.31,193,6.03,169,5.28,5,127,3.97,8.5,35,1.09
7922,Warta Poznań,52176,Ekstraklasa 23/24,23/24,32,31,0.97,31.96,1.00,-0.96,-0.03,33,1.03,21,0.66,12,0.38,97,3.03,119,3.72,90,2.81,306,9.56,188,5.88,118,3.69,9,104,3.25,5.8,68,2.13
38732,Stal Mielec,52176,Ekstraklasa 23/24,23/24,32,40,1.25,30.85,0.96,9.15,0.29,43,1.34,20,0.63,23,0.72,116,3.63,128,4.00,85,2.66,329,10.28,182,5.69,147,4.59,9,118,3.69,6.7,54,1.69
35268,Raków Częstochowa,42004,Ekstraklasa 22/23,22/23,33,62,1.88,61.49,1.86,0.51,0.02,82,2.48,49,1.48,33,1.00,154,4.67,185,5.61,129,3.91,468,14.18,302,9.15,166,5.03,11,195,5.91,9.7,0,0.00
3117,Pogoń Szczecin,42004,Ekstraklasa 22/23,22/23,33,55,1.67,60.93,1.85,-5.93,-0.18,71,2.15,39,1.18,32,0.97,175,5.30,191,5.79,150,4.55,516,15.64,313,9.48,203,6.15,15,206,6.24,9.9,0,0.00
3121,Lech Poznań,42004,Ekstraklasa 22/23,22/23,33,51,1.55,55.85,1.69,-4.85,-0.15,81,2.45,53,1.61,28,0.85,193,5.85,194,5.88,140,4.24,527,15.97,305,9.24,222,6.73,15,189,5.73,9.5,0,0.00
3106,Legia Warszawa,42004,Ekstraklasa 22/23,22/23,33,56,1.70,51.48,1.56,4.52,0.14,71,2.15,42,1.27,29,0.88,161,4.88,206,6.24,122,3.70,489,14.82,276,8.36,213,6.45,15,184,5.58,7.3,0,0.00
3115,Widzew Łódź,42004,Ekstraklasa 22/23,22/23,32,35,1.09,47.95,1.50,-12.95,-0.40,63,1.97,39,1.22,24,0.75,124,3.88,190,5.94,121,3.78,435,13.59,270,8.44,165,5.16,18,173,5.41,8.9,0,0.00
3110,Górnik Zabrze,42004,Ekstraklasa 22/23,22/23,33,45,1.36,49.27,1.49,-4.27,-0.13,59,1.79,34,1.03,25,0.76,146,4.42,174,5.27,133,4.03,453,13.73,280,8.48,173,5.24,15,172,5.21,8.4,0,0.00
3113,Zagłębie Lubin,42004,Ekstraklasa 22/23,22/23,33,35,1.06,47.94,1.45,-12.94,-0.39,57,1.73,40,1.21,17,0.52,161,4.88,195,5.91,125,3.79,481,14.58,280,8.48,201,6.09,9,180,5.45,8.0,0,0.00
7691,Jagiellonia Białystok,42004,Ekstraklasa 22/23,22/23,32,46,1.44,45.16,1.41,0.84,0.03,58,1.81,34,1.06,24,0.75,132,4.13,157,4.91,99,3.09,388,12.13,248,7.75,140,4.38,11,120,3.75,7.2,0,0.00
5065,MKS Korona Kielce,42004,Ekstraklasa 22/23,22/23,32,38,1.19,45.13,1.41,-7.13,-0.22,53,1.66,31,0.97,22,0.69,149,4.66,188,5.88,109,3.41,446,13.94,257,8.03,189,5.91,13,179,5.59,6.0,0,0.00
4901,Cracovia,42004,Ekstraklasa 22/23,22/23,32,37,1.16,42.57,1.33,-5.57,-0.17,56,1.75,35,1.09,21,0.66,132,4.13,196,6.13,115,3.59,443,13.84,283,8.84,160,5.00,13,156,4.88,6.8,0,0.00
7295,Radomiak Radom,42004,Ekstraklasa 22/23,22/23,33,33,1.00,39.91,1.21,-6.91,-0.21,52,1.58,35,1.06,17,0.52,124,3.76,188,5.70,112,3.39,424,12.85,272,8.24,152,4.61,11,152,4.61,6.9,0,0.00
7918,Piast Gliwice,42004,Ekstraklasa 22/23,22/23,33,37,1.12,39.23,1.19,-2.23,-0.07,54,1.64,32,0.97,22,0.67,105,3.18,167,5.06,83,2.52,355,10.76,238,7.21,117,3.55,10,133,4.03,5.9,0,0.00
3122,Wisła Płock,42004,Ekstraklasa 22/23,22/23,32,34,1.06,37.08,1.16,-3.08,-0.10,47,1.47,28,0.88,19,0.59,117,3.66,157,4.91,110,3.44,384,12.00,225,7.03,159,4.97,10,145,4.53,6.8,0,0.00
7913,KS Lechia Gdańsk,42004,Ekstraklasa 22/23,22/23,33,29,0.88,36.90,1.12,-7.90,-0.24,38,1.15,17,0.52,21,0.64,109,3.30,163,4.94,107,3.24,379,11.48,232,7.03,147,4.45,9,154,4.67,6.8,0,0.00
7922,Warta Poznań,42004,Ekstraklasa 22/23,22/23,32,37,1.16,35.57,1.11,1.43,0.04,52,1.63,30,0.94,22,0.69,111,3.47,146,4.56,99,3.09,356,11.13,215,6.72,141,4.41,8,141,4.41,7.3,0,0.00
35330,Miedź Legnica,42004,Ekstraklasa 22/23,22/23,33,32,0.97,35.45,1.07,-3.45,-0.10,45,1.36,28,0.85,17,0.52,109,3.30,178,5.39,94,2.85,381,11.55,230,6.97,151,4.58,10,120,3.64,7.2,0,0.00
38732,Stal Mielec,42004,Ekstraklasa 22/23,22/23,33,34,1.03,34.79,1.05,-0.79,-0.02,44,1.33,24,0.73,20,0.61,110,3.33,152,4.61,110,3.33,372,11.27,209,6.33,163,4.94,5,129,3.91,6.8,0,0.00
3108,Śląsk Wrocław,42004,Ekstraklasa 22/23,22/23,33,35,1.06,33.95,1.03,1.05,0.03,49,1.48,31,0.94,18,0.55,124,3.76,152,4.61,79,2.39,355,10.76,200,6.06,155,4.70,7,142,4.30,10.1,0,0.00
3106,Legia Warszawa,37062,Ekstraklasa 21/22,21/22,33,45,1.36,0,0.00,45.00,1.36,61,1.85,37,1.12,24,0.73,146,4.42,180,5.45,127,3.85,453,13.73,283,8.58,170,5.15,14,207,6.27,8.7,0,0.00
3108,Śląsk Wrocław,37062,Ekstraklasa 21/22,21/22,33,40,1.21,0,0.00,40.00,1.21,55,1.67,33,1.00,22,0.67,142,4.30,182,5.52,117,3.55,441,13.36,227,6.88,214,6.48,14,154,4.67,8.6,0,0.00
3110,Górnik Zabrze,37062,Ekstraklasa 21/22,21/22,32,54,1.69,0,0.00,54.00,1.69,79,2.47,49,1.53,30,0.94,161,5.03,187,5.84,117,3.66,465,14.53,282,8.81,183,5.72,16,170,5.31,7.4,0,0.00
3111,Wisła Kraków,37062,Ekstraklasa 21/22,21/22,33,34,1.03,0,0.00,34.00,1.03,47,1.42,33,1.00,14,0.42,129,3.91,168,5.09,129,3.91,426,12.91,252,7.64,174,5.27,16,166,5.03,7.5,0,0.00
3113,Zagłębie Lubin,37062,Ekstraklasa 21/22,21/22,32,40,1.25,0,0.00,40.00,1.25,52,1.63,32,1.00,20,0.63,127,3.97,195,6.09,128,4.00,450,14.06,240,7.50,210,6.56,7,170,5.31,8.7,0,0.00
3117,Pogoń Szczecin,37062,Ekstraklasa 21/22,21/22,33,61,1.85,0,0.00,61.00,1.85,74,2.24,40,1.21,34,1.03,173,5.24,201,6.09,126,3.82,500,15.15,347,10.52,153,4.64,8,207,6.27,7.6,0,0.00
3121,Lech Poznań,37062,Ekstraklasa 21/22,21/22,32,64,2.00,0,0.00,64.00,2.00,84,2.63,46,1.44,38,1.19,203,6.34,227,7.09,154,4.81,584,18.25,350,10.94,234,7.31,16,211,6.59,7.5,0,0.00
3122,Wisła Płock,37062,Ekstraklasa 21/22,21/22,33,48,1.45,0,0.00,48.00,1.45,47,1.42,20,0.61,27,0.82,132,4.00,136,4.12,103,3.12,371,11.24,242,7.33,129,3.91,5,164,4.97,7.7,0,0.00
3125,Górnik Łęczna,37062,Ekstraklasa 21/22,21/22,32,27,0.84,0,0.00,27.00,0.84,35,1.09,20,0.63,15,0.47,99,3.09,130,4.06,93,2.91,322,10.06,192,6.00,130,4.06,6,128,4.00,7.4,0,0.00
4901,Cracovia,37062,Ekstraklasa 21/22,21/22,33,39,1.18,0,0.00,39.00,1.18,46,1.39,32,0.97,14,0.42,128,3.88,180,5.45,108,3.27,416,12.61,245,7.42,171,5.18,10,169,5.12,6.4,0,0.00
7295,Radomiak Radom,37062,Ekstraklasa 21/22,21/22,33,42,1.27,0,0.00,42.00,1.27,64,1.94,35,1.06,29,0.88,135,4.09,192,5.82,137,4.15,464,14.06,294,8.91,170,5.15,14,178,5.39,8.2,0,0.00
7691,Jagiellonia Białystok,37062,Ekstraklasa 21/22,21/22,33,38,1.15,0,0.00,38.00,1.15,43,1.30,25,0.76,18,0.55,136,4.12,168,5.09,106,3.21,410,12.42,249,7.55,161,4.88,7,170,5.15,7.2,0,0.00
7913,KS Lechia Gdańsk,37062,Ekstraklasa 21/22,21/22,33,51,1.55,0,0.00,51.00,1.55,73,2.21,46,1.39,27,0.82,152,4.61,200,6.06,118,3.58,470,14.24,293,8.88,177,5.36,13,211,6.39,7.8,0,0.00
7918,Piast Gliwice,37062,Ekstraklasa 21/22,21/22,32,41,1.28,0,0.00,41.00,1.28,54,1.69,27,0.84,27,0.84,115,3.59,170,5.31,94,2.94,379,11.84,249,7.78,130,4.06,8,143,4.47,6.1,0,0.00
7922,Warta Poznań,37062,Ekstraklasa 21/22,21/22,33,33,1.00,0,0.00,33.00,1.00,66,2.00,44,1.33,22,0.67,114,3.45,143,4.33,97,2.94,354,10.73,225,6.82,129,3.91,14,142,4.30,6.8,0,0.00
35268,Raków Częstochowa,37062,Ekstraklasa 21/22,21/22,33,57,1.73,0,0.00,57.00,1.73,84,2.55,49,1.48,35,1.06,184,5.58,201,6.09,103,3.12,488,14.79,332,10.06,156,4.73,11,203,6.15,9.5,0,0.00
36851,Bruk-Bet Termalica Nieciecza,37062,Ekstraklasa 21/22,21/22,33,35,1.06,0,0.00,35.00,1.06,56,1.70,33,1.00,23,0.70,117,3.55,190,5.76,110,3.33,417,12.64,258,7.82,159,4.82,15,164,4.97,6.2,0,0.00
