team_id,team_name,season_id,season_name,season_year,matches_played,overall_win_pct,overall_avg_goals_per_match,overall_avg_scored,overall_avg_conceded,overall_btts_pct,overall_clean_sheet_pct,overall_avg_xg,overall_avg_xga,home_matches_played,home_win_pct,home_avg_goals_per_match,home_avg_scored,home_avg_conceded,home_btts_pct,home_clean_sheet_pct,home_avg_xg,home_avg_xga,away_matches_played,away_win_pct,away_avg_goals_per_match,away_avg_scored,away_avg_conceded,away_btts_pct,away_clean_sheet_pct,away_avg_xg,away_avg_xga
7295,Radomiak Radom,76477,Ekstraklasa 25/26,25/26,17,41.2,1.94,1.94,1.65,76.5,17.6,1.30,1.23,9,66.7,3.22,2.44,0.78,66.7,33.3,1.57,0.94,8,12.5,4.00,1.38,2.63,87.5,0.0,0.99,1.55
7913,KS Lechia Gdańsk,76477,Ekstraklasa 25/26,25/26,17,35.3,1.88,1.88,2.06,76.5,11.8,1.27,1.46,8,50.0,3.75,2.25,1.50,75.0,25.0,1.67,1.32,9,22.2,4.11,1.56,2.56,77.8,0.0,0.91,1.58
3121,Lech Poznań,76477,Ekstraklasa 25/26,25/26,16,37.5,1.69,1.69,1.50,75.0,25.0,1.75,1.05,9,33.3,3.67,1.89,1.78,100.0,0.0,1.66,1.04,7,42.9,2.57,1.43,1.14,42.9,57.1,1.87,1.06
3113,Zagłębie Lubin,76477,Ekstraklasa 25/26,25/26,16,31.3,1.75,1.75,1.44,68.8,25.0,1.43,1.39,8,50.0,3.50,2.50,1.00,62.5,37.5,1.69,0.99,8,12.5,2.88,1.00,1.88,75.0,12.5,1.18,1.80
3117,Pogoń Szczecin,76477,Ekstraklasa 25/26,25/26,17,35.3,1.53,1.53,1.76,64.7,5.9,1.95,1.66,8,62.5,4.00,2.38,1.63,75.0,12.5,2.62,1.56,9,11.1,2.67,0.78,1.89,55.6,0.0,1.36,1.74
36851,Bruk-Bet Termalica Nieciecza,76477,Ekstraklasa 25/26,25/26,17,23.5,1.29,1.29,2.00,64.7,17.6,1.45,1.74,8,12.5,3.25,1.13,2.13,62.5,12.5,1.10,1.84,9,33.3,3.33,1.44,1.89,66.7,22.2,1.76,1.65
3106,Legia Warszawa,76477,Ekstraklasa 25/26,25/26,16,25.0,1.19,1.19,1.13,62.5,31.3,1.51,0.96,8,37.5,2.13,1.38,0.75,50.0,50.0,1.51,0.80,8,12.5,2.50,1.00,1.50,75.0,12.5,1.50,1.12
7915,Motor Lublin,76477,Ekstraklasa 25/26,25/26,16,25.0,1.38,1.38,1.63,62.5,25.0,1.41,1.49,8,25.0,2.63,1.38,1.25,62.5,37.5,1.74,1.37,8,25.0,3.38,1.38,2.00,62.5,12.5,1.08,1.62
35268,Raków Częstochowa,76477,Ekstraklasa 25/26,25/26,16,50.0,1.56,1.56,1.38,62.5,18.8,1.39,1.00,7,28.6,2.71,1.29,1.43,71.4,14.3,0.93,0.62,9,66.7,3.11,1.78,1.33,55.6,22.2,1.75,1.30
7691,Jagiellonia Białystok,76477,Ekstraklasa 25/26,25/26,15,53.3,1.80,1.80,1.20,60.0,33.3,1.47,1.71,7,71.4,4.14,2.57,1.57,57.1,28.6,1.88,1.69,8,37.5,2.00,1.13,0.88,62.5,37.5,1.10,1.73
3115,Widzew Łódź,76477,Ekstraklasa 25/26,25/26,17,35.3,1.47,1.47,1.53,58.8,23.5,1.45,1.38,9,44.4,2.56,1.44,1.11,55.6,33.3,1.40,1.28,8,25.0,3.50,1.50,2.00,62.5,12.5,1.51,1.48
3122,Wisła Płock,76477,Ekstraklasa 25/26,25/26,16,43.8,1.25,1.25,0.69,56.3,31.3,1.27,1.05,9,66.7,1.89,1.44,0.44,33.3,55.6,1.52,1.11,7,14.3,2.00,1.00,1.00,85.7,0.0,0.94,0.96
7918,Piast Gliwice,76477,Ekstraklasa 25/26,25/26,15,20.0,1.07,1.07,1.27,53.3,20.0,0.92,1.45,7,14.3,2.00,0.86,1.14,42.9,28.6,0.89,1.39,8,25.0,2.63,1.25,1.38,62.5,12.5,0.95,1.50
3110,Górnik Zabrze,76477,Ekstraklasa 25/26,25/26,17,52.9,1.59,1.59,1.12,52.9,23.5,1.36,1.12,9,66.7,3.11,2.11,1.00,66.7,11.1,1.82,0.91,8,37.5,2.25,1.00,1.25,37.5,37.5,0.84,1.36
4901,Cracovia,76477,Ekstraklasa 25/26,25/26,16,43.8,1.44,1.44,1.19,50.0,43.8,1.23,1.16,8,50.0,2.13,1.38,0.75,50.0,50.0,1.08,0.80,8,37.5,3.13,1.50,1.63,50.0,37.5,1.37,1.52
5064,MZKS Arka Gdynia,76477,Ekstraklasa 25/26,25/26,17,29.4,0.82,0.82,1.88,47.1,17.6,0.75,1.97,8,62.5,2.63,1.50,1.13,75.0,25.0,0.70,1.67,9,0.0,2.78,0.22,2.56,22.2,11.1,0.79,2.25
3112,GKS Katowice,76477,Ekstraklasa 25/26,25/26,16,37.5,1.44,1.44,1.69,43.8,18.8,1.55,1.74,9,44.4,2.89,1.44,1.44,44.4,22.2,1.81,1.65,7,28.6,3.43,1.43,2.00,42.9,14.3,1.20,1.86
5065,MKS Korona Kielce,76477,Ekstraklasa 25/26,25/26,17,35.3,1.18,1.18,1.06,41.2,35.3,1.52,1.38,8,50.0,2.38,1.38,1.00,25.0,50.0,1.75,1.50,9,22.2,2.11,1.00,1.11,55.6,22.2,1.31,1.28
4901,Cracovia,61236,Ekstraklasa 24/25,24/25,33,42.4,1.73,1.73,1.58,75.8,18.2,1.45,1.46,16,31.3,3.63,1.81,1.81,81.3,6.3,1.48,1.33,17,52.9,3.00,1.65,1.35,70.6,29.4,1.42,1.59
3106,Legia Warszawa,61236,Ekstraklasa 24/25,24/25,33,42.4,1.76,1.76,1.36,66.7,18.2,1.91,1.53,16,50.0,3.00,1.88,1.13,68.8,12.5,2.03,1.11,17,35.3,3.24,1.65,1.59,64.7,23.5,1.80,1.92
7295,Radomiak Radom,61236,Ekstraklasa 24/25,24/25,33,30.3,1.39,1.39,1.55,66.7,15.2,1.47,1.48,17,35.3,2.88,1.59,1.29,70.6,17.6,1.59,1.20,16,25.0,3.00,1.19,1.81,62.5,12.5,1.34,1.77
7913,KS Lechia Gdańsk,61236,Ekstraklasa 24/25,24/25,32,31.3,1.34,1.34,1.75,65.6,18.8,1.49,1.91,16,43.8,2.69,1.25,1.44,56.3,25.0,1.74,1.76,16,18.8,3.50,1.44,2.06,75.0,12.5,1.23,2.05
7691,Jagiellonia Białystok,61236,Ekstraklasa 24/25,24/25,33,48.5,1.64,1.64,1.27,63.6,30.3,1.68,1.49,16,50.0,3.13,1.94,1.19,68.8,31.3,1.85,1.29,17,47.1,2.71,1.35,1.35,58.8,29.4,1.52,1.67
38732,Stal Mielec,61236,Ekstraklasa 24/25,24/25,33,21.2,1.15,1.15,1.67,63.6,12.1,1.66,1.63,16,31.3,2.44,1.13,1.31,50.0,25.0,1.91,1.24,17,11.8,3.18,1.18,2.00,76.5,0.0,1.42,1.99
5065,MKS Korona Kielce,61236,Ekstraklasa 24/25,24/25,33,33.3,1.12,1.12,1.27,60.6,24.2,1.34,1.47,17,47.1,2.53,1.29,1.24,52.9,29.4,1.57,1.48,16,18.8,2.25,0.94,1.31,68.8,18.8,1.10,1.47
7915,Motor Lublin,61236,Ekstraklasa 24/25,24/25,32,40.6,1.44,1.44,1.78,59.4,18.8,1.61,1.74,16,43.8,3.13,1.63,1.50,62.5,25.0,1.62,1.62,16,37.5,3.31,1.25,2.06,56.3,12.5,1.60,1.85
3108,Śląsk Wrocław,61236,Ekstraklasa 24/25,24/25,33,18.2,1.12,1.12,1.58,57.6,12.1,1.44,1.49,16,25.0,2.56,1.25,1.31,68.8,12.5,1.48,1.51,17,11.8,2.82,1.00,1.82,47.1,11.8,1.40,1.48
38729,Puszcza Niepołomice,61236,Ekstraklasa 24/25,24/25,32,18.8,1.09,1.09,1.84,56.3,18.8,1.24,1.95,16,25.0,3.31,1.56,1.75,68.8,18.8,1.63,2.02,16,12.5,2.56,0.63,1.94,43.8,18.8,0.85,1.88
3121,Lech Poznań,61236,Ekstraklasa 24/25,24/25,33,63.6,2.00,2.00,0.94,51.5,39.4,1.68,1.29,16,87.5,3.50,2.75,0.75,56.3,37.5,2.06,1.17,17,41.2,2.41,1.29,1.12,47.1,41.2,1.32,1.40
3113,Zagłębie Lubin,61236,Ekstraklasa 24/25,24/25,33,30.3,1.00,1.00,1.48,51.5,18.2,1.45,1.56,17,35.3,2.53,1.12,1.41,52.9,23.5,1.41,1.59,16,25.0,2.44,0.88,1.56,50.0,12.5,1.48,1.54
3112,GKS Katowice,61236,Ekstraklasa 24/25,24/25,33,42.4,1.45,1.45,1.36,51.5,27.3,1.62,1.80,16,50.0,2.38,1.44,0.94,56.3,37.5,1.47,1.67,17,35.3,3.24,1.47,1.76,47.1,17.6,1.76,1.93
3115,Widzew Łódź,61236,Ekstraklasa 24/25,24/25,33,33.3,1.12,1.12,1.45,48.5,24.2,1.27,1.71,17,47.1,2.29,1.12,1.18,35.3,35.3,1.35,1.54,16,18.8,2.88,1.13,1.75,62.5,12.5,1.17,1.88
3110,Górnik Zabrze,61236,Ekstraklasa 24/25,24/25,32,40.6,1.28,1.28,1.09,46.9,31.3,1.43,1.29,17,47.1,2.29,1.41,0.88,41.2,41.2,1.53,1.18,15,33.3,2.47,1.13,1.33,53.3,20.0,1.32,1.42
35268,Raków Częstochowa,61236,Ekstraklasa 24/25,24/25,33,57.6,1.48,1.48,0.70,42.4,48.5,1.48,1.04,17,58.8,2.53,1.65,0.88,52.9,35.3,1.74,1.00,16,56.3,1.81,1.31,0.50,31.3,62.5,1.20,1.08
3117,Pogoń Szczecin,61236,Ekstraklasa 24/25,24/25,33,48.5,1.70,1.70,1.21,42.4,39.4,1.84,1.25,16,75.0,2.94,2.06,0.88,31.3,56.3,2.21,1.08,17,23.5,2.88,1.35,1.53,52.9,23.5,1.50,1.41
7918,Piast Gliwice,61236,Ekstraklasa 24/25,24/25,33,33.3,1.09,1.09,1.06,42.4,33.3,1.18,1.19,17,29.4,2.24,1.12,1.12,41.2,41.2,1.11,1.02,16,37.5,2.06,1.06,1.00,43.8,25.0,1.25,1.36
7691,Jagiellonia Białystok,52176,Ekstraklasa 23/24,23/24,32,53.1,2.28,2.28,1.28,71.9,28.1,1.90,1.28,16,68.8,3.56,2.63,0.94,56.3,43.8,2.06,1.11,16,37.5,3.56,1.94,1.63,87.5,12.5,1.74,1.45
3115,Widzew Łódź,52176,Ekstraklasa 23/24,23/24,32,37.5,1.28,1.28,1.31,62.5,21.9,1.31,1.34,16,50.0,2.31,1.13,1.19,43.8,31.3,1.48,1.15,16,25.0,2.88,1.44,1.44,81.3,12.5,1.15,1.52
35268,Raków Częstochowa,52176,Ekstraklasa 23/24,23/24,33,39.4,1.55,1.55,1.18,60.6,30.3,1.82,1.12,16,56.3,2.56,1.88,0.69,50.0,43.8,1.96,0.84,17,23.5,2.88,1.24,1.65,70.6,17.6,1.69,1.39
38729,Puszcza Niepołomice,52176,Ekstraklasa 23/24,23/24,32,28.1,1.13,1.13,1.31,59.4,25.0,1.22,1.65,17,41.2,2.53,1.35,1.18,70.6,23.5,1.44,1.49,15,13.3,2.33,0.87,1.47,46.7,26.7,0.98,1.83
3110,Górnik Zabrze,52176,Ekstraklasa 23/24,23/24,32,46.9,1.41,1.41,1.16,59.4,31.3,1.34,1.48,16,56.3,2.19,1.44,0.75,50.0,43.8,1.38,1.29,16,37.5,2.94,1.38,1.56,68.8,18.8,1.30,1.68
3123,ŁKS Łódź,52176,Ekstraklasa 23/24,23/24,32,18.8,1.06,1.06,2.19,59.4,6.3,1.17,1.95,17,29.4,3.29,1.35,1.94,64.7,5.9,1.32,2.09,15,6.7,3.20,0.73,2.47,53.3,6.7,1.01,1.79
3106,Legia Warszawa,52176,Ekstraklasa 23/24,23/24,33,45.5,1.45,1.45,1.18,57.6,27.3,1.62,1.09,16,43.8,2.50,1.44,1.06,62.5,31.3,1.85,0.97,17,47.1,2.76,1.47,1.29,52.9,23.5,1.40,1.19
3121,Lech Poznań,52176,Ekstraklasa 23/24,23/24,32,37.5,1.34,1.34,1.25,56.3,34.4,1.32,1.42,16,50.0,2.69,1.69,1.00,56.3,37.5,1.46,1.30,16,25.0,2.50,1.00,1.50,56.3,31.3,1.18,1.54
5065,MKS Korona Kielce,52176,Ekstraklasa 23/24,23/24,33,24.2,1.18,1.18,1.30,54.5,21.2,1.40,1.37,16,37.5,2.88,1.69,1.19,56.3,25.0,1.72,1.04,17,11.8,2.12,0.71,1.41,52.9,17.6,1.10,1.68
3105,Ruch Chorzów,52176,Ekstraklasa 23/24,23/24,32,15.6,1.16,1.16,1.66,53.1,21.9,1.35,1.71,16,18.8,2.56,1.19,1.38,50.0,31.3,1.66,1.35,16,12.5,3.06,1.13,1.94,56.3,12.5,1.04,2.07
38732,Stal Mielec,52176,Ekstraklasa 23/24,23/24,32,34.4,1.25,1.25,1.44,53.1,25.0,0.96,1.64,15,53.3,2.53,1.53,1.00,53.3,40.0,1.08,1.43,17,17.6,2.82,1.00,1.82,52.9,11.8,0.87,1.83
3113,Zagłębie Lubin,52176,Ekstraklasa 23/24,23/24,32,34.4,1.22,1.22,1.50,53.1,28.1,1.43,1.52,16,37.5,2.13,1.06,1.06,56.3,37.5,1.46,1.32,16,31.3,3.31,1.38,1.94,50.0,18.8,1.41,1.72
3108,Śląsk Wrocław,52176,Ekstraklasa 23/24,23/24,32,56.3,1.50,1.50,0.88,50.0,40.6,1.47,1.23,16,56.3,2.38,1.63,0.75,50.0,37.5,1.81,0.82,16,56.3,2.38,1.38,1.00,50.0,43.8,1.12,1.63
7918,Piast Gliwice,52176,Ekstraklasa 23/24,23/24,32,28.1,1.16,1.16,1.03,46.9,40.6,1.54,1.09,16,43.8,2.31,1.50,0.81,43.8,56.3,1.56,0.75,16,12.5,2.06,0.81,1.25,50.0,25.0,1.52,1.43
7295,Radomiak Radom,52176,Ekstraklasa 23/24,23/24,32,28.1,1.22,1.22,1.75,46.9,18.8,1.57,1.66,17,23.5,2.82,1.18,1.65,58.8,5.9,1.98,1.68,15,33.3,3.13,1.27,1.87,33.3,33.3,1.12,1.63
4901,Cracovia,52176,Ekstraklasa 23/24,23/24,33,24.2,1.30,1.30,1.33,45.5,30.3,1.38,1.50,17,29.4,3.35,1.88,1.47,52.9,29.4,1.65,1.43,16,18.8,1.88,0.69,1.19,37.5,31.3,1.10,1.57
3117,Pogoń Szczecin,52176,Ekstraklasa 23/24,23/24,32,43.8,1.75,1.75,1.16,43.8,31.3,1.80,1.16,16,50.0,3.56,2.06,1.50,50.0,25.0,1.97,1.00,16,37.5,2.25,1.44,0.81,37.5,37.5,1.63,1.32
7922,Warta Poznań,52176,Ekstraklasa 23/24,23/24,32,25.0,0.97,0.97,1.31,40.6,25.0,1.00,1.44,15,26.7,2.13,1.00,1.13,46.7,20.0,1.03,1.17,17,23.5,2.41,0.94,1.47,35.3,29.4,0.97,1.69
7691,Jagiellonia Białystok,42004,Ekstraklasa 22/23,22/23,32,25.0,1.44,1.44,1.47,75.0,12.5,1.41,1.81,15,46.7,3.20,1.87,1.33,80.0,20.0,1.79,1.74,17,5.9,2.65,1.06,1.59,70.6,5.9,1.07,1.87
3117,Pogoń Szczecin,42004,Ekstraklasa 22/23,22/23,33,48.5,1.67,1.67,1.36,63.6,24.2,1.85,1.36,16,56.3,3.31,1.94,1.38,62.5,25.0,1.91,1.18,17,41.2,2.76,1.41,1.35,64.7,23.5,1.78,1.54
5065,MKS Korona Kielce,42004,Ekstraklasa 22/23,22/23,32,34.4,1.19,1.19,1.41,59.4,25.0,1.41,1.53,16,50.0,2.25,1.13,1.13,50.0,25.0,1.49,1.47,16,18.8,2.94,1.25,1.69,68.8,25.0,1.33,1.59
3122,Wisła Płock,42004,Ekstraklasa 22/23,22/23,32,25.0,1.06,1.06,1.56,59.4,15.6,1.16,1.81,16,43.8,2.25,1.25,1.00,56.3,31.3,1.31,1.72,16,6.3,3.00,0.88,2.13,62.5,0.0,1.00,1.91
35330,Miedź Legnica,42004,Ekstraklasa 22/23,22/23,33,12.1,0.97,0.97,1.64,57.6,12.1,1.07,1.72,17,17.6,2.29,0.94,1.35,52.9,17.6,1.02,1.49,16,6.3,2.94,1.00,1.94,62.5,6.3,1.13,1.96
3108,Śląsk Wrocław,42004,Ekstraklasa 22/23,22/23,33,27.3,1.06,1.06,1.45,57.6,15.2,1.03,1.21,17,35.3,2.71,1.35,1.35,64.7,11.8,1.22,1.15,16,18.8,2.31,0.75,1.56,50.0,18.8,0.83,1.28
3106,Legia Warszawa,42004,Ekstraklasa 22/23,22/23,33,57.6,1.70,1.70,1.09,51.5,36.4,1.56,1.06,17,70.6,3.24,2.24,1.00,64.7,35.3,1.65,1.09,16,43.8,2.31,1.13,1.19,37.5,37.5,1.46,1.03
3110,Górnik Zabrze,42004,Ekstraklasa 22/23,22/23,33,39.4,1.36,1.36,1.24,51.5,33.3,1.49,1.28,16,37.5,2.75,1.44,1.31,56.3,31.3,1.79,1.18,17,41.2,2.47,1.29,1.18,47.1,35.3,1.21,1.38
3121,Lech Poznań,42004,Ekstraklasa 22/23,22/23,33,51.5,1.55,1.55,0.82,45.5,48.5,1.69,1.15,16,56.3,2.38,1.56,0.81,31.3,56.3,1.81,1.09,17,47.1,2.35,1.53,0.82,58.8,41.2,1.58,1.20
4901,Cracovia,42004,Ekstraklasa 22/23,22/23,32,31.3,1.16,1.16,1.09,43.8,31.3,1.33,1.39,16,43.8,1.94,1.31,0.63,31.3,43.8,1.55,0.99,16,18.8,2.56,1.00,1.56,56.3,18.8,1.11,1.80
3115,Widzew Łódź,42004,Ekstraklasa 22/23,22/23,32,31.3,1.09,1.09,1.41,43.8,34.4,1.50,1.42,17,29.4,2.94,1.29,1.65,52.9,29.4,1.68,1.43,15,33.3,2.00,0.87,1.13,33.3,40.0,1.29,1.40
3113,Zagłębie Lubin,42004,Ekstraklasa 22/23,22/23,33,36.4,1.06,1.06,1.33,42.4,24.2,1.45,1.52,16,25.0,2.06,0.81,1.25,43.8,18.8,1.61,1.46,17,47.1,2.71,1.29,1.41,41.2,29.4,1.31,1.59
7918,Piast Gliwice,42004,Ekstraklasa 22/23,22/23,33,45.5,1.12,1.12,0.91,42.4,30.3,1.19,0.97,17,41.2,1.94,1.00,0.94,47.1,23.5,1.36,0.68,16,50.0,2.13,1.25,0.88,37.5,37.5,1.01,1.28
7922,Warta Poznań,42004,Ekstraklasa 22/23,22/23,32,37.5,1.16,1.16,0.94,40.6,37.5,1.11,1.02,16,31.3,2.19,1.31,0.88,56.3,31.3,1.17,0.73,16,43.8,2.00,1.00,1.00,25.0,43.8,1.05,1.31
35268,Raków Częstochowa,42004,Ekstraklasa 22/23,22/23,33,66.7,1.88,1.88,0.73,39.4,48.5,1.86,0.82,16,81.3,3.13,2.50,0.63,37.5,56.3,2.15,0.72,17,52.9,2.12,1.29,0.82,41.2,41.2,1.59,0.92
7913,KS Lechia Gdańsk,42004,Ekstraklasa 22/23,22/23,33,24.2,0.88,0.88,1.52,39.4,33.3,1.12,1.71,17,29.4,2.18,0.88,1.29,35.3,41.2,1.26,1.72,16,18.8,2.63,0.88,1.75,43.8,25.0,0.97,1.70
7295,Radomiak Radom,42004,Ekstraklasa 22/23,22/23,33,36.4,1.00,1.00,1.21,39.4,27.3,1.21,1.22,16,31.3,2.19,1.00,1.19,31.3,31.3,1.21,0.95,17,41.2,2.24,1.00,1.24,47.1,23.5,1.21,1.48
38732,Stal Mielec,42004,Ekstraklasa 22/23,22/23,33,30.3,1.03,1.03,1.21,36.4,33.3,1.05,1.52,17,35.3,1.88,1.06,0.82,35.3,41.2,1.11,1.26,16,25.0,2.63,1.00,1.63,37.5,25.0,1.00,1.81
