team_id,team_name,season_id,season_name,season_year,matches_played,total_goals_conceded,goals_conceded_per_game,clean_sheets,clean_sheet_pct,total_saves,saves_per_game,total_tackles,tackles_per_game,avg_tackles_won_pct,total_interceptions,interceptions_per_game,total_clearances,clearances_per_game,total_blocked_shots,blocked_shots_per_game,total_ball_recoveries,ball_recoveries_per_game,avg_aerial_duels_pct,avg_ground_duels_pct,avg_duels_won_pct,total_errors_lead_to_goal,total_errors_lead_to_shot
3122,Wisła Płock,76477,Ekstraklasa 25/26,25/26,16,11,0.69,5,31.3,48,3.00,192,12.00,7.7,106,6.63,470,29.38,48,3.00,673,42.06,14.1,28.9,52.0,2,11
5065,MKS Korona Kielce,76477,Ekstraklasa 25/26,25/26,17,18,1.06,6,35.3,56,3.29,216,12.71,8.1,142,8.35,456,26.82,79,4.65,755,44.41,14.9,33.1,48.2,1,4
3110,Górnik Zabrze,76477,Ekstraklasa 25/26,25/26,17,19,1.12,4,23.5,32,1.88,219,12.88,8.7,119,7.00,365,21.47,84,4.94,739,43.47,11.4,31.5,50.3,4,8
3106,Legia Warszawa,76477,Ekstraklasa 25/26,25/26,16,18,1.13,5,31.3,32,2.00,207,12.94,8.5,124,7.75,351,21.94,86,5.38,687,42.94,17.3,33.3,49.3,0,5
4901,Cracovia,76477,Ekstraklasa 25/26,25/26,16,19,1.19,7,43.8,38,2.38,227,14.19,9.3,154,9.63,471,29.44,50,3.13,636,39.75,17.2,33.8,50.0,0,3
7691,Jagiellonia Białystok,76477,Ekstraklasa 25/26,25/26,15,18,1.20,5,33.3,61,4.07,208,13.87,9.0,107,7.13,370,24.67,61,4.07,694,46.27,13.2,33.9,50.0,1,10
7918,Piast Gliwice,76477,Ekstraklasa 25/26,25/26,15,19,1.27,3,20.0,38,2.53,151,10.07,6.6,102,6.80,374,24.93,74,4.93,612,40.80,14.6,27.0,48.4,2,9
35268,Raków Częstochowa,76477,Ekstraklasa 25/26,25/26,16,22,1.38,3,18.8,32,2.00,204,12.75,8.4,108,6.75,386,24.13,55,3.44,684,42.75,17.5,36.3,51.4,0,5
3113,Zagłębie Lubin,76477,Ekstraklasa 25/26,25/26,16,23,1.44,4,25.0,45,2.81,247,15.44,9.0,161,10.06,581,36.31,49,3.06,705,44.06,20.7,31.9,51.7,2,6
3121,Lech Poznań,76477,Ekstraklasa 25/26,25/26,16,24,1.50,4,25.0,37,2.31,181,11.31,7.5,87,5.44,331,20.69,81,5.06,644,40.25,13.6,30.2,50.0,4,6
3115,Widzew Łódź,76477,Ekstraklasa 25/26,25/26,17,26,1.53,4,23.5,40,2.35,240,14.12,9.7,118,6.94,466,27.41,63,3.71,713,41.94,12.1,36.2,51.1,5,9
7915,Motor Lublin,76477,Ekstraklasa 25/26,25/26,16,26,1.63,4,25.0,45,2.81,244,15.25,10.5,109,6.81,388,24.25,60,3.75,688,43.00,12.9,34.8,49.8,3,9
7295,Radomiak Radom,76477,Ekstraklasa 25/26,25/26,17,28,1.65,3,17.6,39,2.29,223,13.12,8.3,103,6.06,526,30.94,65,3.82,612,36.00,17.3,33.2,50.2,4,4
3112,GKS Katowice,76477,Ekstraklasa 25/26,25/26,16,27,1.69,3,18.8,43,2.69,224,14.00,8.2,111,6.94,513,32.06,53,3.31,680,42.50,19.0,31.3,52.8,1,7
3117,Pogoń Szczecin,76477,Ekstraklasa 25/26,25/26,17,30,1.76,1,5.9,74,4.35,195,11.47,7.5,130,7.65,481,28.29,84,4.94,733,43.12,13.5,26.4,47.1,3,8
5064,MZKS Arka Gdynia,76477,Ekstraklasa 25/26,25/26,17,32,1.88,3,17.6,46,2.71,223,13.12,7.5,126,7.41,473,27.82,43,2.53,595,35.00,15.1,31.4,49.1,4,9
36851,Bruk-Bet Termalica Nieciecza,76477,Ekstraklasa 25/26,25/26,17,34,2.00,3,17.6,66,3.88,243,14.29,9.0,119,7.00,454,26.71,57,3.35,720,42.35,17.3,32.6,49.9,5,5
7913,KS Lechia Gdańsk,76477,Ekstraklasa 25/26,25/26,17,35,2.06,2,11.8,46,2.71,277,16.29,10.2,139,8.18,460,27.06,56,3.29,742,43.65,15.1,31.9,49.0,3,2
35268,Raków Częstochowa,61236,Ekstraklasa 24/25,24/25,33,23,0.70,16,48.5,82,2.48,442,13.39,8.1,314,9.52,649,19.67,125,3.79,1490,45.15,17.4,33.6,50.2,2,4
3121,Lech Poznań,61236,Ekstraklasa 24/25,24/25,33,31,0.94,13,39.4,108,3.27,448,13.58,8.1,244,7.39,643,19.48,179,5.42,1570,47.58,11.7,32.0,50.1,5,10
7918,Piast Gliwice,61236,Ekstraklasa 24/25,24/25,33,35,1.06,11,33.3,85,2.58,426,12.91,7.9,259,7.85,828,25.09,115,3.48,1642,49.76,18.4,30.8,48.5,3,5
3110,Górnik Zabrze,61236,Ekstraklasa 24/25,24/25,32,35,1.09,10,31.3,76,2.38,511,15.97,10.2,299,9.34,725,22.66,148,4.63,1572,49.13,10.2,36.4,52.9,3,11
3117,Pogoń Szczecin,61236,Ekstraklasa 24/25,24/25,33,40,1.21,13,39.4,101,3.06,436,13.21,8.0,272,8.24,828,25.09,149,4.52,1515,45.91,14.9,28.0,50.7,4,9
5065,MKS Korona Kielce,61236,Ekstraklasa 24/25,24/25,33,42,1.27,8,24.2,90,2.73,562,17.03,10.5,308,9.33,895,27.12,128,3.88,1611,48.82,14.6,37.3,49.4,1,5
7691,Jagiellonia Białystok,61236,Ekstraklasa 24/25,24/25,33,42,1.27,10,30.3,102,3.09,491,14.88,9.2,289,8.76,772,23.39,124,3.76,1521,46.09,13.4,35.1,50.5,2,11
3106,Legia Warszawa,61236,Ekstraklasa 24/25,24/25,33,45,1.36,6,18.2,86,2.61,470,14.24,8.9,256,7.76,667,20.21,161,4.88,1677,50.82,15.5,34.4,49.8,10,18
3112,GKS Katowice,61236,Ekstraklasa 24/25,24/25,33,45,1.36,9,27.3,112,3.39,436,13.21,8.2,272,8.24,916,27.76,123,3.73,1578,47.82,15.8,29.7,49.0,6,6
3115,Widzew Łódź,61236,Ekstraklasa 24/25,24/25,33,48,1.45,8,24.2,91,2.76,493,14.94,9.1,288,8.73,817,24.76,123,3.73,1471,44.58,12.6,33.8,50.2,6,8
3113,Zagłębie Lubin,61236,Ekstraklasa 24/25,24/25,33,49,1.48,6,18.2,107,3.24,486,14.73,8.6,293,8.88,945,28.64,130,3.94,1626,49.27,17.8,31.2,48.8,3,13
7295,Radomiak Radom,61236,Ekstraklasa 24/25,24/25,33,51,1.55,5,15.2,86,2.61,549,16.64,9.8,324,9.82,899,27.24,121,3.67,1527,46.27,19.5,35.1,51.4,2,12
4901,Cracovia,61236,Ekstraklasa 24/25,24/25,33,52,1.58,6,18.2,95,2.88,477,14.45,8.7,265,8.03,842,25.52,120,3.64,1597,48.39,17.9,32.1,50.2,2,7
3108,Śląsk Wrocław,61236,Ekstraklasa 24/25,24/25,33,52,1.58,4,12.1,113,3.42,500,15.15,9.2,328,9.94,924,28.00,145,4.39,1626,49.27,16.5,34.3,49.3,7,7
38732,Stal Mielec,61236,Ekstraklasa 24/25,24/25,33,55,1.67,4,12.1,109,3.30,476,14.42,8.8,296,8.97,850,25.76,127,3.85,1564,47.39,15.6,30.9,50.5,8,19
7913,KS Lechia Gdańsk,61236,Ekstraklasa 24/25,24/25,32,56,1.75,6,18.8,93,2.91,505,15.78,9.6,294,9.19,798,24.94,123,3.84,1499,46.84,13.7,33.2,48.9,4,2
7915,Motor Lublin,61236,Ekstraklasa 24/25,24/25,32,57,1.78,6,18.8,118,3.69,440,13.75,8.7,272,8.50,751,23.47,115,3.59,1520,47.50,11.2,30.2,47.8,10,5
38729,Puszcza Niepołomice,61236,Ekstraklasa 24/25,24/25,32,59,1.84,6,18.8,119,3.72,541,16.91,10.6,334,10.44,936,29.25,109,3.41,1486,46.44,22.3,31.9,51.9,3,9
3108,Śląsk Wrocław,52176,Ekstraklasa 23/24,23/24,32,28,0.88,13,40.6,80,2.50,434,13.56,8.1,288,9.00,736,23.00,106,3.31,1730,54.06,15.0,34.0,51.2,0,2
7918,Piast Gliwice,52176,Ekstraklasa 23/24,23/24,32,33,1.03,13,40.6,68,2.13,420,13.13,8.6,241,7.53,573,17.91,114,3.56,1628,50.88,18.5,32.8,49.9,0,0
3117,Pogoń Szczecin,52176,Ekstraklasa 23/24,23/24,32,37,1.16,10,31.3,85,2.66,360,11.25,7.5,309,9.66,619,19.34,153,4.78,1766,55.19,13.4,26.1,48.7,1,1
3110,Górnik Zabrze,52176,Ekstraklasa 23/24,23/24,32,37,1.16,10,31.3,96,3.00,453,14.16,8.7,289,9.03,701,21.91,112,3.50,1686,52.69,11.7,33.3,48.7,1,0
3106,Legia Warszawa,52176,Ekstraklasa 23/24,23/24,33,39,1.18,9,27.3,46,1.39,448,13.58,8.5,265,8.03,526,15.94,149,4.52,1720,52.12,15.1,34.4,51.8,0,0
35268,Raków Częstochowa,52176,Ekstraklasa 23/24,23/24,33,39,1.18,10,30.3,75,2.27,414,12.55,7.6,291,8.82,494,14.97,124,3.76,1859,56.33,14.1,35.5,50.0,1,1
3121,Lech Poznań,52176,Ekstraklasa 23/24,23/24,32,40,1.25,11,34.4,103,3.22,418,13.06,8.5,265,8.28,532,16.63,112,3.50,1725,53.91,11.2,32.5,48.8,0,0
7691,Jagiellonia Białystok,52176,Ekstraklasa 23/24,23/24,32,41,1.28,9,28.1,73,2.28,496,15.50,10.0,289,9.03,515,16.09,118,3.69,1690,52.81,12.0,37.2,52.6,0,0
5065,MKS Korona Kielce,52176,Ekstraklasa 23/24,23/24,33,43,1.30,7,21.2,85,2.58,577,17.48,11.3,313,9.48,614,18.61,141,4.27,1810,54.85,16.6,38.7,50.5,0,0
7922,Warta Poznań,52176,Ekstraklasa 23/24,23/24,32,42,1.31,8,25.0,95,2.97,504,15.75,10.0,338,10.56,736,23.00,90,2.81,1720,53.75,22.1,32.3,49.3,0,2
38729,Puszcza Niepołomice,52176,Ekstraklasa 23/24,23/24,32,42,1.31,8,25.0,114,3.56,489,15.28,10.1,309,9.66,818,25.56,98,3.06,1466,45.81,23.4,31.5,49.1,0,0
3115,Widzew Łódź,52176,Ekstraklasa 23/24,23/24,32,42,1.31,7,21.9,98,3.06,478,14.94,9.1,274,8.56,585,18.28,120,3.75,1715,53.59,14.2,31.7,50.5,0,1
4901,Cracovia,52176,Ekstraklasa 23/24,23/24,33,44,1.33,10,30.3,90,2.73,461,13.97,9.0,301,9.12,718,21.76,149,4.52,1750,53.03,19.5,31.1,52.4,1,2
38732,Stal Mielec,52176,Ekstraklasa 23/24,23/24,32,46,1.44,8,25.0,103,3.22,435,13.59,8.4,243,7.59,703,21.97,85,2.66,1778,55.56,14.1,31.0,48.6,0,0
3113,Zagłębie Lubin,52176,Ekstraklasa 23/24,23/24,32,48,1.50,9,28.1,102,3.19,398,12.44,7.5,337,10.53,572,17.88,130,4.06,1678,52.44,14.8,31.6,50.7,0,0
3105,Ruch Chorzów,52176,Ekstraklasa 23/24,23/24,32,53,1.66,7,21.9,98,3.06,461,14.41,8.8,307,9.59,719,22.47,125,3.91,1659,51.84,16.8,33.3,49.1,0,2
7295,Radomiak Radom,52176,Ekstraklasa 23/24,23/24,32,56,1.75,6,18.8,82,2.56,417,13.03,8.8,295,9.22,627,19.59,125,3.91,1644,51.38,18.4,33.7,50.7,1,0
3123,ŁKS Łódź,52176,Ekstraklasa 23/24,23/24,32,70,2.19,2,6.3,114,3.56,473,14.78,9.4,304,9.50,718,22.44,109,3.41,1706,53.31,12.9,35.6,47.3,1,1
35268,Raków Częstochowa,42004,Ekstraklasa 22/23,22/23,33,24,0.73,16,48.5,62,1.88,447,13.55,8.2,363,11.00,412,12.48,129,3.91,54,1.64,15.6,36.5,50.8,0,0
3121,Lech Poznań,42004,Ekstraklasa 22/23,22/23,33,27,0.82,16,48.5,77,2.33,467,14.15,8.8,323,9.79,445,13.48,140,4.24,55,1.67,10.9,35.7,49.5,0,0
7918,Piast Gliwice,42004,Ekstraklasa 22/23,22/23,33,30,0.91,10,30.3,75,2.27,489,14.82,9.4,341,10.33,628,19.03,83,2.52,0,0.00,18.3,34.8,50.8,0,0
7922,Warta Poznań,42004,Ekstraklasa 22/23,22/23,32,30,0.94,12,37.5,67,2.09,429,13.41,7.8,416,13.00,614,19.19,99,3.09,75,2.34,21.2,32.4,51.5,0,0
3106,Legia Warszawa,42004,Ekstraklasa 22/23,22/23,33,36,1.09,12,36.4,86,2.61,510,15.45,9.8,338,10.24,546,16.55,122,3.70,112,3.39,12.9,35.9,51.9,0,0
4901,Cracovia,42004,Ekstraklasa 22/23,22/23,32,35,1.09,10,31.3,81,2.53,444,13.88,8.1,344,10.75,652,20.38,115,3.59,59,1.84,18.3,31.1,50.6,0,0
38732,Stal Mielec,42004,Ekstraklasa 22/23,22/23,33,40,1.21,11,33.3,105,3.18,480,14.55,8.9,303,9.18,639,19.36,110,3.33,63,1.91,13.9,36.4,52.1,0,0
7295,Radomiak Radom,42004,Ekstraklasa 22/23,22/23,33,40,1.21,9,27.3,108,3.27,478,14.48,8.5,339,10.27,601,18.21,112,3.39,59,1.79,15.8,36.3,50.8,0,0
3110,Górnik Zabrze,42004,Ekstraklasa 22/23,22/23,33,41,1.24,11,33.3,105,3.18,560,16.97,10.4,417,12.64,541,16.39,133,4.03,119,3.61,13.8,36.3,49.9,0,0
3113,Zagłębie Lubin,42004,Ekstraklasa 22/23,22/23,33,44,1.33,8,24.2,85,2.58,450,13.64,8.0,324,9.82,688,20.85,125,3.79,50,1.52,13.8,32.5,48.7,0,0
3117,Pogoń Szczecin,42004,Ekstraklasa 22/23,22/23,33,45,1.36,8,24.2,77,2.33,473,14.33,9.2,312,9.45,516,15.64,150,4.55,115,3.48,12.2,34.5,50.2,0,0
3115,Widzew Łódź,42004,Ekstraklasa 22/23,22/23,32,45,1.41,11,34.4,98,3.06,433,13.53,7.6,334,10.44,695,21.72,121,3.78,51,1.59,13.8,32.9,49.2,0,0
5065,MKS Korona Kielce,42004,Ekstraklasa 22/23,22/23,32,45,1.41,8,25.0,90,2.81,495,15.47,9.2,379,11.84,718,22.44,109,3.41,49,1.53,14.3,33.3,48.0,0,0
3108,Śląsk Wrocław,42004,Ekstraklasa 22/23,22/23,33,48,1.45,5,15.2,84,2.55,460,13.94,8.4,349,10.58,598,18.12,79,2.39,49,1.48,13.6,36.1,50.5,0,0
7691,Jagiellonia Białystok,42004,Ekstraklasa 22/23,22/23,32,47,1.47,4,12.5,126,3.94,513,16.03,9.5,370,11.56,727,22.72,99,3.09,43,1.34,15.1,34.9,49.8,0,0
7913,KS Lechia Gdańsk,42004,Ekstraklasa 22/23,22/23,33,50,1.52,11,33.3,116,3.52,471,14.27,8.8,320,9.70,610,18.48,107,3.24,62,1.88,13.8,33.2,48.9,0,0
3122,Wisła Płock,42004,Ekstraklasa 22/23,22/23,32,50,1.56,5,15.6,121,3.78,501,15.66,10.0,291,9.09,636,19.88,110,3.44,61,1.91,12.5,34.8,49.5,0,0
35330,Miedź Legnica,42004,Ekstraklasa 22/23,22/23,33,54,1.64,4,12.1,131,3.97,510,15.45,8.8,416,12.61,686,20.79,94,2.85,67,2.03,15.6,32.9,47.3,0,0
3121,Lech Poznań,37062,Ekstraklasa 21/22,21/22,32,23,0.72,14,43.8,49,1.53,413,12.91,8.2,344,10.75,447,13.97,154,4.81,0,0.00,14.9,30.8,49.7,0,0
35268,Raków Częstochowa,37062,Ekstraklasa 21/22,21/22,33,28,0.85,14,42.4,80,2.42,450,13.64,8.0,377,11.42,526,15.94,103,3.12,0,0.00,17.4,38.4,51.9,0,0
3117,Pogoń Szczecin,37062,Ekstraklasa 21/22,21/22,33,31,0.94,9,27.3,79,2.39,481,14.58,9.3,370,11.21,583,17.67,126,3.82,0,0.00,15.6,34.4,50.3,0,0
7918,Piast Gliwice,37062,Ekstraklasa 21/22,21/22,32,34,1.06,10,31.3,79,2.47,492,15.38,9.0,393,12.28,711,22.22,94,2.94,0,0.00,17.7,35.4,51.2,0,0
7922,Warta Poznań,37062,Ekstraklasa 21/22,21/22,33,36,1.09,10,30.3,86,2.61,508,15.39,9.9,426,12.91,721,21.85,97,2.94,0,0.00,17.1,34.8,48.4,0,0
7913,KS Lechia Gdańsk,37062,Ekstraklasa 21/22,21/22,33,38,1.15,12,36.4,107,3.24,463,14.03,8.2,385,11.67,618,18.73,118,3.58,0,0.00,16.2,33.5,48.5,0,0
7295,Radomiak Radom,37062,Ekstraklasa 21/22,21/22,33,40,1.21,8,24.2,88,2.67,514,15.58,9.7,291,8.82,603,18.27,137,4.15,0,0.00,19.2,38.4,51.0,0,0
4901,Cracovia,37062,Ekstraklasa 21/22,21/22,33,41,1.24,10,30.3,79,2.39,567,17.18,10.2,347,10.52,677,20.52,108,3.27,0,0.00,16.8,36.8,50.2,0,0
3106,Legia Warszawa,37062,Ekstraklasa 21/22,21/22,33,48,1.45,7,21.2,91,2.76,556,16.85,10.2,418,12.67,482,14.61,127,3.85,0,0.00,16.7,40.3,51.6,0,0
7691,Jagiellonia Białystok,37062,Ekstraklasa 21/22,21/22,33,49,1.48,7,21.2,74,2.24,565,17.12,10.5,428,12.97,637,19.30,106,3.21,0,0.00,16.2,36.2,49.7,0,0
3122,Wisła Płock,37062,Ekstraklasa 21/22,21/22,33,50,1.52,9,27.3,127,3.85,547,16.58,10.0,364,11.03,689,20.88,103,3.12,0,0.00,15.8,38.5,49.4,0,0
